time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temp
21.38,-0.00,0.00,1.00,0.02,0.08,-0.11,21.33
21.44,-0.00,0.00,1.00,-0.04,0.02,-0.11,21.34
21.49,-0.00,0.00,1.00,-0.04,0.08,-0.05,21.31
21.54,-0.00,-0.00,1.00,-0.04,0.08,-0.11,21.33
21.60,-0.00,0.00,1.00,-0.04,0.08,-0.11,21.34
21.65,0.00,0.00,1.00,-0.11,0.08,-0.05,21.32
21.71,-0.00,0.00,1.00,-0.11,0.02,-0.17,21.33
21.76,-0.00,0.00,1.00,0.02,0.02,-0.11,21.32
21.81,-0.00,-0.00,1.00,-0.04,0.08,-0.17,21.33
21.87,-0.00,0.00,1.00,0.02,0.08,-0.17,21.34
21.92,-0.00,-0.00,1.00,0.02,-0.04,-0.11,21.31
21.98,0.00,0.00,1.00,-0.04,-0.04,-0.05,21.30
22.03,-0.00,0.00,1.00,0.02,0.02,0.02,21.32
22.08,-0.00,-0.00,1.00,0.02,0.02,-0.17,21.33
22.14,0.00,0.00,1.00,-0.04,0.02,-0.11,21.32
22.19,-0.00,0.00,1.00,0.08,0.08,-0.05,21.33
22.25,-0.00,0.00,1.00,-0.11,0.08,-0.11,21.32
22.30,-0.00,-0.00,1.00,-0.04,0.02,-0.11,21.31
22.35,-0.00,0.00,1.00,0.08,0.08,-0.23,21.31
22.41,0.00,0.00,1.00,-0.11,0.02,-0.11,21.31
22.46,-0.00,0.00,1.00,0.08,0.02,-0.11,21.34
22.52,0.00,0.00,1.00,-0.04,0.08,-0.17,21.32
22.57,-0.00,-0.00,1.00,-0.11,0.02,-0.05,21.32
22.62,0.00,0.00,1.00,-0.04,0.02,-0.17,21.33
22.68,-0.00,0.00,1.00,-0.04,0.02,-0.11,21.30
22.73,-0.00,0.00,1.00,0.02,-0.04,-0.05,21.32
22.79,-0.00,0.00,1.00,-0.04,0.08,-0.11,21.33
22.84,-0.00,0.00,1.00,-0.04,0.02,-0.11,21.34
22.89,0.00,0.00,1.00,-0.04,0.02,-0.05,21.31
22.95,-0.00,-0.00,1.00,-0.04,0.08,-0.11,21.32
23.00,-0.00,0.00,0.99,0.02,0.08,-0.11,21.31
23.06,-0.00,-0.00,1.00,-0.04,0.08,-0.11,21.34
23.11,0.00,0.00,1.00,0.02,0.02,-0.05,21.34
23.17,-0.00,0.00,1.00,0.02,0.08,-0.05,21.31
23.22,-0.00,0.00,1.00,-0.04,0.02,-0.05,21.33
23.27,0.00,0.00,1.00,-0.04,0.08,-0.11,21.30
23.33,-0.00,0.00,1.00,0.02,0.08,-0.11,21.34
23.38,0.00,0.00,1.00,0.02,0.08,-0.11,21.34
23.44,-0.00,0.00,1.00,0.02,0.02,-0.11,21.32
23.49,-0.00,0.00,1.00,-0.04,0.02,-0.11,21.33
23.54,-0.00,0.00,1.00,-0.04,0.08,-0.11,21.32
23.60,0.00,0.00,1.00,0.08,-0.04,-0.11,21.32
23.65,-0.00,-0.00,1.00,-0.04,0.14,-0.05,21.30
23.70,-0.00,0.00,1.00,0.02,-0.04,-0.05,21.37
23.76,0.00,0.00,1.00,-0.04,0.14,-0.11,21.32
23.81,-0.00,0.00,1.00,-0.04,-0.04,-0.11,21.33
23.87,-0.00,0.00,1.00,0.08,0.08,-0.17,21.32
23.92,0.00,0.00,1.00,-0.04,0.08,-0.05,21.32
23.97,-0.00,-0.00,1.00,-0.04,0.02,-0.11,21.34
24.03,-0.00,-0.00,1.00,0.02,-0.04,-0.11,21.32
24.08,-0.00,0.00,1.00,0.02,0.02,-0.11,21.35
24.14,0.00,0.00,1.00,-0.04,-0.04,-0.05,21.33
24.19,-0.00,0.00,1.00,0.02,0.02,-0.17,21.33
24.25,-0.00,0.00,1.01,0.02,-0.04,-0.17,21.35
24.30,-0.00,-0.00,1.00,-0.04,0.02,-0.11,21.32
24.35,-0.00,-0.00,1.00,-0.04,0.02,-0.17,21.33
24.41,-0.00,0.00,1.00,0.02,0.02,-0.05,21.34
24.46,0.00,0.00,1.00,-0.04,0.14,-0.11,21.31
24.52,0.00,0.00,1.00,-0.04,0.21,-0.17,21.34
24.57,-0.00,0.00,1.00,-0.04,0.02,-0.05,21.33
24.62,-0.00,0.00,1.00,-0.04,0.14,-0.17,21.33
24.68,-0.00,0.00,1.00,0.02,0.02,-0.11,21.32
